X,X_WGS84,Y_WGS84,Pannonian,Carpathian
1,17.28,46.98,1,0
2,17.45,46.84,1,0
3,17.9,47.1,1,0
4,18.23,46.1,1,0
5,18.78,47.82,1,0
6,18.92,47.46,1,0
7,18.99,47.67,1,0
8,19,48.24,1,0
9,19.51,48.25,1,0
10,19.86,48.23,1,0
11,19.86,48.17,1,0
12,20.03,47.87,1,0
13,20.2,47.94,1,0
14,20.33,47.99,1,0
15,17.3,46.99,1,0
16,17.43,46.81,1,0
17,17.45,46.83,1,0
18,17.88,47.09,1,0
19,17.9,47.35,1,0
20,17.93,47.09,1,0
21,18.09,48.35,1,0
22,18.21,47.07,1,0
23,18.56,48.34,1,0
24,18.93,47.79,1,0
25,19,48.28,1,0
26,19,48.27,1,0
27,19.05,47.49,1,0
28,20.45,43.52,0,1
29,20.79,43.4,0,1
30,21.54,44.27,0,1
31,21.71,44.66,0,1
32,21.72,46.11,0,1
33,21.74,44.71,0,1
34,21.77,48.43,0,1
35,21.88,42.59,0,1
36,21.93,44.42,0,1
37,22.48,44.86,0,1
38,22.51,46.96,0,1
39,22.76,45.38,0,1
40,22.9,45.89,0,1
41,23.51,45.41,0,1
42,23.65,45.78,0,1
43,23.7,45.53,0,1
44,24.08,46.14,0,1
45,24.11,45.7,0,1
46,24.3,45.29,0,1
47,24.55,47.4,0,1
48,24.61,45.64,0,1
49,24.64,45.36,0,1
50,24.64,45.35,0,1
51,24.7,45.58,0,1
52,24.7,45.57,0,1
53,25.23,46.58,0,1
54,25.28,45.53,0,1
55,25.29,45.53,0,1
56,25.5,45.41,0,1
57,25.78,46.72,0,1
58,25.85,46.11,0,1
59,18.37,48.74,0,1
60,18.64,48.69,0,1
61,18.86,49.17,0,1
62,18.89,48.58,0,1
63,18.97,48.94,0,1
64,19.02,48.82,0,1
65,19.04,48.88,0,1
66,19.09,49.15,0,1
67,19.1,48.81,0,1
68,19.13,48.81,0,1
69,19.27,48.95,0,1
70,19.43,49.11,0,1
71,19.54,49.57,0,1
72,19.68,49.04,0,1
73,19.7,49.04,0,1
74,19.72,49.26,0,1
75,19.76,48.98,0,1
76,19.79,49.03,0,1
77,19.81,49.02,0,1
78,19.87,49.12,0,1
79,19.91,49.02,0,1
80,19.96,48.71,0,1
81,19.98,48.79,0,1
82,20.02,48.75,0,1
83,20.03,49.2,0,1
84,20.03,49.18,0,1
85,20.05,49.15,0,1
86,20.06,49.18,0,1
87,20.08,48.77,0,1
88,20.09,49.18,0,1
89,20.1,48.77,0,1
90,20.11,49.26,0,1
91,20.12,49.2,0,1
92,20.13,48.82,0,1
93,20.14,49.17,0,1
94,20.14,48.74,0,1
95,20.15,49.18,0,1
96,20.15,49.16,0,1
97,20.16,49.15,0,1
98,20.18,49.04,0,1
99,20.2,49.23,0,1
100,20.21,49.25,0,1
101,20.21,49.2,0,1
102,20.22,49.24,0,1
103,20.22,49.23,0,1
104,20.22,49.21,0,1
105,20.23,49.25,0,1
106,20.24,48.89,0,1
107,20.25,49.16,0,1
108,20.25,48.88,0,1
109,20.27,48.92,0,1
110,20.27,48.62,0,1
111,20.28,49.2,0,1
112,20.28,48.9,0,1
113,20.31,49.23,0,1
114,20.32,49.03,0,1
115,20.38,48.96,0,1
116,20.47,48.57,0,1
117,20.53,48.88,0,1
118,20.85,49.01,0,1
119,20.86,49,0,1
120,20.93,49.06,0,1
121,12.44,55.34,0,1
122,12.55,54.96,0,1
123,14.13,53.99,0,1
124,14.29,53.89,0,1
125,14.33,53.9,0,1
126,14.42,53.92,0,1
127,16.1,54.27,0,1
128,21.03,55.38,0,1
129,21.1,55.53,0,1
130,23.96,57.02,0,1
131,24.1,57.08,0,1
132,24.1,57.04,0,1